,time_stamp,id,age,gender,brightness_left,size_left,hue_left,brightness_right,size_right,hue_right,same_size,keypress,correct_choice,reaction_time,color_left,color_right
0,2023-12-01_23h39.10.616,99,,Female,0.7477121846677675,0.10573132777549021,0.6850037068567008,0.8502501893273774,0.8463348195713677,0.12416571733453928,0,right,1,0.4314948749997711,"(0.7477121846677675, 0.23552656650842477, 0.6957247626000351)","(0.8463348195713677, 0.38775426993374557, 0.40973337314354363)"
1,2023-12-01_23h39.10.616,99,,Female,0.8421077597306269,0.13428364444971508,0.7824381899802579,0.8917782291963904,0.5840035197145707,0.11467844661290709,0,left,0,0.2982923749987094,"(0.8421077597306269, 0.18321048843866525, 0.6110526652999599)","(0.21920926661142004, 0.15281664998366837, 0.5840035197145707)"
2,2023-12-01_23h39.10.616,99,,Female,0.8171935804611157,0.12369475487099166,0.8696059181708773,0.09996379993325344,0.6440198023589638,0.1159203487710113,0,left,0,0.40659804200186045,"(0.8171935804611157, 0.532784680412024, 0.10655720660088049)","(0.6440198023589638, 0.0935449697325623, 0.3497493584762388)"
3,2023-12-01_23h39.10.616,99,,Female,0.9376345793858015,0.11305739073016607,0.5840811181478412,0.04564196758904526,0.9827927380910142,0.1271829768654482,0,right,1,0.4577609579973796,"(0.9376345793858015, 0.5399561415257131, 0.38997992584406177)","(0.3431256617079711, 0.4165190104369443, 0.9827927380910142)"
4,2023-12-01_23h39.10.616,99,,Female,0.5220892780075732,0.10382197042626294,0.7732223674488383,0.257214653756238,0.9117042330634413,0.1250666570888443,0,right,1,0.4654187079977419,"(0.3027687748341032, 0.5220892780075732, 0.11839817044690273)","(0.6083555930274498, 0.13526136794262608, 0.9117042330634413)"
5,2023-12-01_23h39.10.616,99,,Female,0.5922026497637525,0.14856332609412304,0.8987001105260003,0.8910536668584477,0.8959523218532974,0.10006904363903266,0,left,0,0.3512183749990072,"(0.5922026497637525, 0.059990062967277887, 0.40788572166681447)","(0.23712564327539318, 0.4358486125743323, 0.8959523218532974)"
6,2023-12-01_23h39.10.616,99,,Female,0.8244941535408128,0.11913681610103016,0.9160669708004782,0.35860397250795106,0.8218835927892458,0.10402503720121205,0,left,0,0.5017852499986475,"(0.06920229186397608, 0.8244941535408128, 0.18372254051173978)","(0.17783522082292968, 0.8171297703521058, 0.8218835927892458)"
7,2023-12-01_23h39.10.616,99,,Female,0.5999606174816025,0.11613370736410646,0.6077000559270387,0.35887897784615996,0.760422184586239,0.1168586195732691,0,left,0,0.5491089169991028,"(0.23536451668401198, 0.5999606174816025, 0.29124757097443976)","(0.13270002870365058, 0.6261959074629712, 0.760422184586239)"
8,2023-12-01_23h39.10.616,99,,Female,0.7166420673678537,0.12178330150814143,0.666531979974401,0.6707601339675101,0.7874683969459991,0.10939153183116647,0,right,1,0.5436168330015789,"(0.2507090440873479, 0.23897721127221017, 0.7166420673678537)","(0.16201210090936613, 0.49874157461338253, 0.7874683969459991)"
9,2023-12-01_23h39.10.616,99,,Female,0.6473969947037395,0.13679425581407476,0.9076970117850525,0.6291096370596873,0.9090922126603591,0.1291088986291423,0,right,1,0.3971777920014574,"(0.05975667717253171, 0.19217682599517796, 0.6473969947037395)","(0.9090922126603591, 0.006805909695794502, 0.6203367717363895)"
